,"Life expectancy at birth, total (years)","Lower secondary completion rate, total (% of relevant age group)","School enrollment, secondary (% net)",Expense (% of GDP),Compensation of employees (% of expense),Tax revenue (% of GDP),"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",Labor force with advanced education (% of total working-age population with advanced education),"Labor force participation rate, total (% of total population ages 15+) (national estimate)",Labor force with basic education (% of total working-age population with basic education),Labor force with intermediate education (% of total working-age population with intermediate education),Net lending (+) / net borrowing (-) (% of GDP),Poverty headcount ratio at national poverty lines (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population)
49,82.7487804878049,94.93621822728925,92.28431,26.1035090234959,2.748069320113895,23.3336747444538,66.7679977416992,82.5800018310547,65.9585037231445,52.1399993896484,76.1399993896484,-0.151023209127968,16.69099677252615,0.7
50,76.8707317073171,103.618118286133,88.47397,36.9835293880472,4.594094210568057,25.9400360072768,59.4720001220703,82.4632034301758,58.8292999267578,45.415901184082,71.6307983398438,-4.4768437623397,13.0,0.7
51,77.319512195122,103.618118286133,88.47397,35.5190676574057,4.469760458354572,26.7977121693633,58.4129981994629,83.6526031494141,58.4351005554199,44.3255004882813,70.8255996704102,-3.20928853897358,13.0,0.7
52,77.6707317073171,103.618118286133,88.47397,35.2824426151284,4.40667144698855,26.8898454625725,58.5900001525879,81.3093032836914,58.8480987548828,38.0884017944336,68.4853973388672,-3.00108058906645,13.0,0.5333333333333333
53,77.8756097560976,103.618118286133,88.47397,34.8975950914636,4.447429092426428,26.6278222019285,58.4519996643066,76.2482986450195,58.9859008789063,37.9771995544434,68.3520965576172,-2.51758910865007,13.0,0.36666666666666664
54,78.1268292682927,103.618118286133,88.42819,34.1493525851837,4.306947991465408,26.225079875854,56.3310012817383,77.6904983520508,58.714298248291,37.2594985961914,67.5904998779297,-2.11913983133845,13.0,0.2
55,78.5756097560976,103.618118286133,88.418275,34.8647781921222,4.222435833602222,27.9655719884559,54.882999420166,77.8179016113281,58.2374992370605,36.160099029541,66.7501983642578,-0.855571620243829,13.0,0.33333333333333337
56,78.6780487804878,103.618118286133,88.40836,34.3419165315384,4.133451344700673,26.9755003214763,55.9700012207031,76.5351028442383,58.9604988098145,37.6077003479004,66.4264984130859,-1.30974799592229,13.0,0.4666666666666667
57,78.6317073170732,103.819877624512,88.4619,34.3498598263816,4.177843192037203,26.6469699320882,54.681999206543,76.5506973266602,59.1519012451172,36.9616012573242,67.1867980957031,-1.71879915360167,13.0,0.6
58,79.1804878048781,103.32336171468134,88.60349,36.9077500288222,4.188146430265275,26.3086724864457,55.7560005187988,74.5233001708984,57.2583999633789,34.5199012756348,64.8749008178711,-4.57542381364735,12.6,0.3
59,79.3317073170732,102.82684580485066,89.18387,34.4527953022381,4.458848238648253,25.5139554642579,58.0289993286133,75.9663009643555,58.5583000183105,36.1629981994629,65.6634979248047,-2.40562010363632,12.6,0.4
60,79.8804878048781,102.33032989502,89.26828,33.7148755462767,4.429364085317814,25.0504425566822,58.0709991455078,76.3697967529297,59.0824012756348,37.3501014709473,66.2211990356445,-2.16195720741702,12.0,0.4
61,80.1804878048781,101.396553039551,88.21249,32.5007675771469,4.293649961650209,25.3919943156154,59.5670013427734,77.2141036987305,59.9361991882324,39.1232986450195,66.8153991699219,-1.10968467025805,15.2,0.7
62,80.4317073170732,100.707298278809,88.16806,33.1184904128653,4.34039593492566,26.0775197165623,59.6020011901855,75.5743026733398,60.1730003356934,38.3987998962402,67.345703125,-1.32952566927414,14.5,0.9
63,80.3317073170732,100.029373168945,87.93998,36.024229907637,4.594929622215363,25.2251652368968,59.5379981994629,75.8095016479492,60.4449996948242,38.1096992492676,67.3151016235352,-4.28318907644741,14.7,1.0
64,80.5804878048781,101.871322631836,86.79411,34.6352361419177,4.539933268590018,25.2816355062362,58.3009986877441,75.245002746582,60.3959999084473,37.4766998291016,67.28759765625,-3.30735759622009,14.5,0.8
65,80.9829268292683,101.713981628418,86.61554,33.8841111943669,4.360013034590239,25.4279852755305,59.173999786377,75.9107971191406,60.4892997741699,37.8450012207031,67.0728988647461,-2.28103716696161,14.4,1.0
66,80.9365853658537,99.3048629760742,86.14129,34.2785934193504,4.3711555364417825,25.92819764092,59.2540016174316,76.5962982177734,60.7627983093262,37.2380981445313,67.2621002197266,-2.13717716297325,14.4,1.0
67,81.1365853658537,97.3342132568359,86.22208,34.4357047107501,4.3164370865752275,26.4151730942712,58.851001739502,76.9093017578125,60.9202003479004,36.8368988037109,67.2738037109375,-2.0030860405137,14.1,0.6
68,81.490243902439,96.9089431762695,86.55112,35.2312785799935,4.287209511431427,26.4178983110922,58.1679992675781,76.7985992431641,60.6940994262695,36.8036994934082,64.2526016235352,-2.81808517206882,13.9,0.7
69,81.190243902439,96.2254104614258,86.71155,33.9399835413696,4.306972191502561,26.8261674155428,57.6110000610352,76.8852005004883,60.7226982116699,36.3577995300293,63.8912010192871,-1.19660708568117,14.1,0.9
70,81.6414634146342,97.179817199707,87.37319,32.6639746124212,4.267791026457873,25.4191692326751,57.5359992980957,76.8841018676758,61.2074012756348,37.4990005493164,63.9089012145996,-1.22949727487882,14.4,1.2
71,81.6439024390244,97.6730575561523,87.00131,31.8633044139179,4.25127157469489,25.4207639839643,55.9259986877441,77.415901184082,61.2187995910645,36.9735984802246,63.6701011657715,-0.930283283270328,14.3,0.7
72,81.6926829268293,97.4635467529297,87.00131,31.1974570189076,4.199418889086312,25.4286250256869,56.3310012817383,76.7076034545898,61.36669921875,36.9096984863281,63.9790000915527,-0.122928606147328,13.3,0.7
73,81.6926829268293,97.4635467529297,87.00131,31.1974570189076,4.199418889086312,25.4286250256869,56.1749992370605,76.6993026733398,61.3637008666992,36.8032989501953,63.5544013977051,0.448101300463147,13.3,0.7
74,81.6926829268293,97.4635467529297,87.00131,31.1974570189076,4.199418889086312,25.4286250256869,56.0789985656738,76.6993026733398,61.3637008666992,36.8032989501953,63.5544013977051,0.448101300463147,13.3,0.7
75,76.6731707317073,76.5381698608398,89.58207,14.3796125701319,1.230470989966801,10.901851794023,51.060001373291,80.4476013183594,57.6128997802734,41.1557006835938,68.5838012695313,-1.77518242096826,12.5,0.2
76,77.0731707317073,77.4386825561523,89.58207,13.9591566172909,1.2059369556841164,10.7293679728731,50.8689994812012,79.6006011962891,57.6729011535645,41.1538009643555,68.535400390625,-1.56301149835556,12.5,0.2
77,77.4756097560976,77.68617030552451,89.58207,14.1214840996416,1.1675324540677672,10.8349797956732,51.1759986877441,78.11520004272465,57.6837005615234,42.23515129089355,66.70655059814456,-1.7983340117751,12.5,0.2
78,77.7268292682927,77.93365805489672,89.58207,14.3492046536019,1.1670647645185261,11.5085361353351,51.6380004882813,76.6297988891602,57.8653984069824,43.3165016174316,64.8777008056641,-1.39428399401791,12.5,0.2
79,77.9268292682927,78.18114580426894,89.58207,14.0574370937229,1.1273962832349171,11.7050007349141,51.1580009460449,76.309700012207,57.459098815918,42.9655990600586,64.3322982788086,-1.07600908448667,12.5,0.2
80,78.3292682926829,78.42863355364116,89.58207,13.5719020133116,1.0925564209777994,10.961685400499,50.6389999389648,75.8070983886719,57.480899810791,36.9448013305664,63.8380012512207,-1.12209671628601,12.5,0.2
81,78.2292682926829,78.67612130301337,89.58207,13.9053827816498,1.09366259310087,10.8353047149382,49.9059982299805,75.2586975097656,57.2733993530273,36.4852981567383,63.8841018676758,-1.61128600804324,12.5,0.2
82,78.3804878048781,78.92360905238559,89.62782,14.1562329024177,1.0906691540715887,10.9985214123903,49.4090003967285,75.2307968139648,57.3179016113281,36.2462997436523,63.3163986206055,-1.35586935977609,12.5,0.2
83,78.6804878048781,79.1710968017578,89.76944,13.6335590403621,1.0514280959287226,10.4262945741916,47.5229988098145,74.5554962158203,56.8726005554199,34.9679985046387,62.7723007202148,-1.8104591340629,12.5,0.2
84,78.9317073170732,81.7793121337891,90.09314,14.0163701596375,1.0330233770345307,10.6568166026456,49.9119987487793,74.2978973388672,58.4165000915527,37.2400016784668,63.747501373291,-2.03464565552744,12.5,0.2
85,79.1317073170732,83.8480491638184,89.71943,13.5127542891643,0.9855799296964581,10.8516276183608,50.8559989929199,74.5066986083984,58.9570999145508,38.3568992614746,64.0498962402344,-1.39010012242776,15.2,0.0
86,79.5341463414634,85.9167861938477,89.12277,13.2155788041848,0.94164549309092,11.3340401272229,52.1199989318848,73.9197006225586,59.149299621582,38.0023994445801,64.1391983032227,-0.585065311756116,15.2,0.2
87,79.7365853658537,83.6506423950195,89.52043,13.4246354786392,0.9641388990412316,11.4723010889499,52.7529983520508,73.4077987670898,59.2372016906738,37.7546005249023,63.8779983520508,-0.546085003279023,15.5,0.2
88,79.8365853658537,83.6506423950195,88.17308,14.6841638283866,1.0401028514799409,11.6149370535587,52.2060012817383,73.5274963378906,59.3919982910156,37.7645988464355,63.6591987609863,-1.58394426204037,15.6,0.2
89,79.9878048780488,83.6506423950195,88.12181,16.1304398689752,1.0223058492373809,11.1902979254406,51.4739990234375,73.4658966064453,59.369800567627,37.0592002868652,63.4552993774414,-3.41857744501638,15.8,0.2
90,80.4365853658537,83.6506423950195,88.47512,14.1302588396026,0.9717179981971479,11.4813852299559,52.0909996032715,74.3945999145508,60.0900993347168,40.3294982910156,63.834300994873,-1.02719078097388,16.1,0.2
91,80.5390243902439,83.6506423950195,88.0323,13.6510266600129,0.9657666789247039,11.6229861108582,50.2610015869141,74.1642990112305,60.0672988891602,40.2897987365723,63.6516990661621,-0.51138122834944,16.1,0.2
92,80.490243902439,83.6506423950195,87.32363,13.0861685667028,0.9550137785830386,11.611503370267,50.3279991149902,73.9825973510742,60.3529014587402,40.7566986083984,63.8148002624512,-0.0475927934977858,16.7,0.2
93,81.090243902439,83.6506423950195,86.63283,12.5573284416707,0.9254630457000316,11.4825632039024,49.431999206543,73.6421966552734,60.4077987670898,37.146900177002,64.0954971313477,0.528415709342324,16.7,0.2
94,80.6414634146341,83.6506423950195,86.12309,12.2941794605741,0.9157307826310794,11.4344156659551,48.6209983825684,73.3419036865234,60.1689987182617,37.219898223877,63.6841011047363,0.548678532010654,16.5,0.2
